Al,Co,Fe,Ni,Si,Mn,Cr,Mo,Ti,Cu,Zr,V,Nb,Sn,Zn,Ta,Hf,W,B,C,FCC,BCC,IM
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2222,0.2222,0.2222,0,0,0.2222,0,0,0.1111,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.2,0.2,0.2,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.1818,0.1818,0.1818,0,0,0.1818,0,0.0909,0.1818,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0.1724,0.1724,0.1724,0,0,0.1724,0,0.1379,0.1724,0,0,0,0,0,0,0,0,0,0,1,0,1
0,0.1667,0.1667,0.1667,0,0,0.1667,0,0.1667,0.1667,0,0,0,0,0,0,0,0,0,0,1,0,1
0.0909,0.1818,0.1818,0.1818,0,0,0.1818,0,0,0.1818,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0877,0.1754,0.1754,0.1754,0,0,0.1754,0,0.0351,0.1754,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0847,0.1695,0.1695,0.1695,0,0,0.1695,0,0.0678,0.1695,0,0,0,0,0,0,0,0,0,0,1,1,0
0.082,0.1639,0.1639,0.1639,0,0,0.1639,0,0.0984,0.1639,0,0,0,0,0,0,0,0,0,0,1,1,0
0.0794,0.1587,0.1587,0.1587,0,0,0.1587,0,0.127,0.1587,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0769,0.1538,0.1538,0.1538,0,0,0.1538,0,0.1538,0.1538,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0746,0.1493,0.1493,0.1493,0,0,0.1493,0,0.1791,0.1493,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0725,0.1449,0.1449,0.1449,0,0,0.1449,0,0.2029,0.1449,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0704,0.1408,0.1408,0.1408,0,0,0.1408,0,0.2254,0.1408,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0685,0.137,0.137,0.137,0,0,0.137,0,0.2466,0.137,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0667,0.1333,0.1333,0.1333,0,0,0.1333,0,0.2667,0.1333,0,0,0,0,0,0,0,0,0,0,1,1,1
0.0909,0.1818,0.1818,0.1818,0,0,0.1818,0,0,0.1818,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0877,0.1754,0.1754,0.1754,0,0,0.1754,0,0,0.1754,0,0.0351,0,0,0,0,0,0,0,0,1,0,0
0.0847,0.1695,0.1695,0.1695,0,0,0.1695,0,0,0.1695,0,0.0678,0,0,0,0,0,0,0,0,1,1,0
0.082,0.1639,0.1639,0.1639,0,0,0.1639,0,0,0.1639,0,0.0984,0,0,0,0,0,0,0,0,1,1,1
0.0794,0.1587,0.1587,0.1587,0,0,0.1587,0,0,0.1587,0,0.127,0,0,0,0,0,0,0,0,1,1,1
0.0769,0.1538,0.1538,0.1538,0,0,0.1538,0,0,0.1538,0,0.1538,0,0,0,0,0,0,0,0,1,1,1
0.0746,0.1493,0.1493,0.1493,0,0,0.1493,0,0,0.1493,0,0.1791,0,0,0,0,0,0,0,0,0,1,0
0.0725,0.1449,0.1449,0.1449,0,0,0.1449,0,0,0.1449,0,0.2029,0,0,0,0,0,0,0,0,0,1,0
0.0704,0.1408,0.1408,0.1408,0,0,0.1408,0,0,0.1408,0,0.2254,0,0,0,0,0,0,0,0,0,1,0
0.0685,0.137,0.137,0.137,0,0,0.137,0,0,0.137,0,0.2466,0,0,0,0,0,0,0,0,0,1,0
0.0667,0.1333,0.1333,0.1333,0,0,0.1333,0,0,0.1333,0,0.2667,0,0,0,0,0,0,0,0,0,1,0
0.2,0.2,0.2,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,1,0
